Starting Experiment: slimpajama_llama_nlayers12_nhead12_lr0.001_sched_wsd_warmup300_decay_linear_0.1_iter45000_bs50x4_ws1_seed0_data_seed1337
Experiment Directory: /mntcephfs/lab_data/chenyupeng/senmiao_jaggi_exp_results/slimpajama_llama_nlayers12_nhead12_lr0.001_sched_wsd_warmup300_decay_linear_0.1_iter45000_bs50x4_ws1_seed0_data_seed1337
Config:
{'config_format': 'base', 'experiment_name': None, 'seed': 0, 'data_seed': 1337, 'eval_interval': 200, 'full_eval_at': [], 'eval_batches': 32, 'device': 'cuda:0', 'distributed_backend': None, 'log_interval': 50, 'results_base_folder': '/mntcephfs/lab_data/chenyupeng/senmiao_jaggi_exp_results', 'permanent_ckpt_interval': 0, 'latest_ckpt_interval': 0, 'resume_from': None, 'resume_from_swa': None, 'auto_resume': True, 'phase1_steps': 3000, 'phase2_steps': 27000, 'phase1_interval': 300, 'phase2_interval': 4000, 'phase3_interval': 1000, 'wandb': True, 'wandb_project': 'my-project', 'wandb_run_prefix': 'none', 'eval_seq_prefix': 'none', 'log_dynamics': False, 'dynamics_logger_cfg': './src/logger/rotational_logger.yaml', 'scheduler': 'wsd', 'cos_inf_steps': 0, 'iterations': 45000, 'warmup_steps': 300, 'lr': 0.001, 'wsd_final_lr_scale': 0.0, 'wsd_fract_decay': 0.1, 'decay_type': 'linear', 'opt': 'adamw', 'batch_size': 50, 'acc_steps': 4, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'weight_average': False, 'wa_interval': 5, 'wa_horizon': 500, 'wa_dtype': 'float32', 'wa_use_temp_dir': False, 'wa_sweep_horizon': False, 'max_num_wa_sweeps': 5, 'exponential_moving_average': False, 'ema_interval': 10, 'ema_decay': 0.95, 'ema_after_warmup': False, 'datasets_dir': '/mntcephfs/lab_data/chenyupeng/llm_datasets', 'dataset': 'slimpajama', 'tokenizer': 'gpt2', 'vocab_size': 50304, 'data_in_ram': False, 'model': 'llama', 'parallel_block': False, 'use_pretrained': 'none', 'from_dense': False, 'init_std': 0.02, 'dropout': 0.0, 'n_head': 12, 'n_layer': 12, 'sequence_length': 512, 'n_embd': 768, 'multiple_of': 256, 'rmsnorm_eps': 1e-05, 'dtype': 'bfloat16', 'bias': False, 'compile': True, 'mlp_dim_exp_factor': 1.0, 'world_size': 1}
Loading dataset: 'slimpajama'
/mntcephfs/lab_data/chenyupeng/llm_datasets/slimpajama6B/
Num training tokens: 5827933038
Num validation tokens: 9479563
Model:
Llama(
  (transformer): ModuleDict(
    (wte): Embedding(50304, 768)
    (drop): Dropout(p=0.0, inplace=False)
    (h): ModuleList(
      (0-11): 12 x LlamaBlock(
        (ln_1): RMSNorm()
        (attn): LlamaAttention(
          (c_attn): Linear(in_features=768, out_features=2304, bias=False)
          (c_proj): Linear(in_features=768, out_features=768, bias=False)
          (attn_dropout): Dropout(p=0.0, inplace=False)
          (resid_dropout): Dropout(p=0.0, inplace=False)
        )
        (ln_2): RMSNorm()
        (mlp): LlamaMLP(
          (w1): Linear(in_features=768, out_features=2048, bias=False)
          (w2): Linear(in_features=768, out_features=2048, bias=False)
          (c_proj): Linear(in_features=2048, out_features=768, bias=False)
        )
      )
    )
    (ln_f): RMSNorm()
  )
  (lm_head): Linear(in_features=768, out_features=50304, bias=False)
)
number of parameters: 123.59M
number of optimized parameters: 123.59M
Optimizer:
AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.95)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0.1
Parameter Group 1
    amsgrad: False
    betas: (0.9, 0.95)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0.0
)
Compiling model ...
>Eval: Iter=0 (0.000 epochs) val_loss=10.950 val_pp=56930.970 val_acc=0.000825
Train: Iter=50 (0.001 epochs) train_loss=7.399 iter_dt=5.33e-01s lr=1.75e-04
Train: Iter=100 (0.002 epochs) train_loss=6.365 iter_dt=5.35e-01s lr=3.40e-04
Train: Iter=150 (0.003 epochs) train_loss=5.702 iter_dt=5.39e-01s lr=5.05e-04
Train: Iter=200 (0.003 epochs) train_loss=5.647 iter_dt=5.40e-01s lr=6.70e-04
>Eval: Iter=200 (0.004 epochs) val_loss=5.680 val_pp=292.824 val_acc=0.194825
Train: Iter=250 (0.004 epochs) train_loss=5.358 iter_dt=5.40e-01s lr=8.35e-04
Train: Iter=300 (0.005 epochs) train_loss=5.092 iter_dt=5.40e-01s lr=1.00e-03
Train: Iter=350 (0.006 epochs) train_loss=5.030 iter_dt=5.39e-01s lr=1.00e-03
Train: Iter=400 (0.007 epochs) train_loss=4.864 iter_dt=5.41e-01s lr=1.00e-03
>Eval: Iter=400 (0.007 epochs) val_loss=4.934 val_pp=138.959 val_acc=0.242622
Train: Iter=450 (0.008 epochs) train_loss=4.713 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=500 (0.009 epochs) train_loss=4.499 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=550 (0.010 epochs) train_loss=4.412 iter_dt=5.42e-01s lr=1.00e-03
Train: Iter=600 (0.011 epochs) train_loss=4.090 iter_dt=5.41e-01s lr=1.00e-03
>Eval: Iter=600 (0.011 epochs) val_loss=4.426 val_pp=83.609 val_acc=0.298741
Train: Iter=650 (0.011 epochs) train_loss=4.138 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=700 (0.012 epochs) train_loss=4.347 iter_dt=5.42e-01s lr=1.00e-03
Train: Iter=750 (0.013 epochs) train_loss=4.131 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=800 (0.014 epochs) train_loss=4.355 iter_dt=5.40e-01s lr=1.00e-03
>Eval: Iter=800 (0.014 epochs) val_loss=4.212 val_pp=67.489 val_acc=0.319614
Train: Iter=850 (0.015 epochs) train_loss=4.132 iter_dt=5.39e-01s lr=1.00e-03
Train: Iter=900 (0.016 epochs) train_loss=4.195 iter_dt=5.42e-01s lr=1.00e-03
Train: Iter=950 (0.017 epochs) train_loss=4.037 iter_dt=5.39e-01s lr=1.00e-03
Train: Iter=1000 (0.018 epochs) train_loss=4.113 iter_dt=5.41e-01s lr=1.00e-03
>Eval: Iter=1000 (0.018 epochs) val_loss=4.090 val_pp=59.713 val_acc=0.330513
Train: Iter=1050 (0.018 epochs) train_loss=4.000 iter_dt=5.40e-01s lr=1.00e-03
Train: Iter=1100 (0.019 epochs) train_loss=4.391 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=1150 (0.020 epochs) train_loss=3.891 iter_dt=5.42e-01s lr=1.00e-03
Train: Iter=1200 (0.021 epochs) train_loss=3.959 iter_dt=5.41e-01s lr=1.00e-03
>Eval: Iter=1200 (0.021 epochs) val_loss=4.004 val_pp=54.796 val_acc=0.339059
Train: Iter=1250 (0.022 epochs) train_loss=4.022 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=1300 (0.023 epochs) train_loss=4.028 iter_dt=5.42e-01s lr=1.00e-03
Train: Iter=1350 (0.024 epochs) train_loss=3.938 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=1400 (0.025 epochs) train_loss=3.708 iter_dt=5.40e-01s lr=1.00e-03
>Eval: Iter=1400 (0.025 epochs) val_loss=3.939 val_pp=51.347 val_acc=0.344003
Train: Iter=1450 (0.025 epochs) train_loss=3.966 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=1500 (0.026 epochs) train_loss=3.905 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=1550 (0.027 epochs) train_loss=3.949 iter_dt=5.41e-01s lr=1.00e-03
Train: Iter=1600 (0.028 epochs) train_loss=3.740 iter_dt=5.40e-01s lr=1.00e-03
