Starting Experiment: slimpajama_llama_nlayers8_nhead6_lr0.002_sched_wsd_warmup0_decay_linear_0.0_iter15000_bs50x4_ws1_seed0_data_seed1337
Experiment Directory: /mntcephfs/lab_data/chenyupeng/senmiao_jaggi_exp_results/slimpajama_llama_nlayers8_nhead6_lr0.002_sched_wsd_warmup0_decay_linear_0.0_iter15000_bs50x4_ws1_seed0_data_seed1337
Config:
{'config_format': 'base', 'experiment_name': None, 'seed': 0, 'data_seed': 1337, 'eval_interval': 200, 'full_eval_at': [], 'eval_batches': 32, 'device': 'cuda:0', 'distributed_backend': None, 'log_interval': 50, 'results_base_folder': '/mntcephfs/lab_data/chenyupeng/senmiao_jaggi_exp_results', 'permanent_ckpt_interval': 0, 'latest_ckpt_interval': 0, 'resume_from': None, 'resume_from_swa': None, 'auto_resume': True, 'checkpoint_steps': [0, 100, 300, 900, 1500, 3000, 6000, 9000, 12000, 13500, 14250, 15000], 'wandb': True, 'wandb_project': 'my-project', 'wandb_run_prefix': 'none', 'eval_seq_prefix': 'none', 'log_dynamics': False, 'dynamics_logger_cfg': './src/logger/rotational_logger.yaml', 'scheduler': 'wsd', 'cos_inf_steps': 0, 'iterations': 15000, 'warmup_steps': 0, 'lr': 0.002, 'wsd_final_lr_scale': 0.0, 'wsd_fract_decay': 0.0, 'decay_type': 'linear', 'opt': 'adamw', 'batch_size': 50, 'acc_steps': 4, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'weight_average': False, 'wa_interval': 5, 'wa_horizon': 500, 'wa_dtype': 'float32', 'wa_use_temp_dir': False, 'wa_sweep_horizon': False, 'max_num_wa_sweeps': 5, 'exponential_moving_average': False, 'ema_interval': 10, 'ema_decay': 0.95, 'ema_after_warmup': False, 'datasets_dir': '/mntcephfs/lab_data/chenyupeng/llm_datasets', 'dataset': 'slimpajama', 'tokenizer': 'gpt2', 'vocab_size': 50304, 'data_in_ram': False, 'model': 'llama', 'parallel_block': False, 'use_pretrained': 'none', 'from_dense': False, 'init_std': 0.02, 'dropout': 0.0, 'n_head': 6, 'n_layer': 8, 'sequence_length': 512, 'n_embd': 384, 'multiple_of': 256, 'rmsnorm_eps': 1e-05, 'dtype': 'bfloat16', 'bias': False, 'compile': True, 'mlp_dim_exp_factor': 1.0, 'world_size': 1}
Loading dataset: 'slimpajama'
/mntcephfs/lab_data/chenyupeng/llm_datasets/slimpajama6B/
Num training tokens: 5827933038
Num validation tokens: 9479563
Model:
Llama(
  (transformer): ModuleDict(
    (wte): Embedding(50304, 384)
    (drop): Dropout(p=0.0, inplace=False)
    (h): ModuleList(
      (0-7): 8 x LlamaBlock(
        (ln_1): RMSNorm()
        (attn): LlamaAttention(
          (c_attn): Linear(in_features=384, out_features=1152, bias=False)
          (c_proj): Linear(in_features=384, out_features=384, bias=False)
          (attn_dropout): Dropout(p=0.0, inplace=False)
          (resid_dropout): Dropout(p=0.0, inplace=False)
        )
        (ln_2): RMSNorm()
        (mlp): LlamaMLP(
          (w1): Linear(in_features=384, out_features=1024, bias=False)
          (w2): Linear(in_features=384, out_features=1024, bias=False)
          (c_proj): Linear(in_features=1024, out_features=384, bias=False)
        )
      )
    )
    (ln_f): RMSNorm()
  )
  (lm_head): Linear(in_features=384, out_features=50304, bias=False)
)
number of parameters: 33.48M
number of optimized parameters: 33.48M
Optimizer:
AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.95)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.002
    maximize: False
    weight_decay: 0.1
Parameter Group 1
    amsgrad: False
    betas: (0.9, 0.95)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.002
    maximize: False
    weight_decay: 0.0
)
Compiling model ...
>Eval: Iter=0 (0.000 epochs) val_loss=10.873 val_pp=52757.342 val_acc=0.014714
Train: Iter=50 (0.001 epochs) train_loss=7.162 iter_dt=2.13e-01s lr=2.00e-03
Train: Iter=100 (0.002 epochs) train_loss=6.546 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=150 (0.003 epochs) train_loss=6.077 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=200 (0.003 epochs) train_loss=6.028 iter_dt=2.14e-01s lr=2.00e-03
>Eval: Iter=200 (0.004 epochs) val_loss=6.077 val_pp=435.747 val_acc=0.161056
Train: Iter=250 (0.004 epochs) train_loss=5.769 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=300 (0.005 epochs) train_loss=5.507 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=350 (0.006 epochs) train_loss=5.498 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=400 (0.007 epochs) train_loss=5.311 iter_dt=2.14e-01s lr=2.00e-03
>Eval: Iter=400 (0.007 epochs) val_loss=5.415 val_pp=224.732 val_acc=0.202323
Train: Iter=450 (0.008 epochs) train_loss=5.248 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=500 (0.009 epochs) train_loss=5.042 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=550 (0.010 epochs) train_loss=4.894 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=600 (0.011 epochs) train_loss=4.496 iter_dt=2.15e-01s lr=2.00e-03
>Eval: Iter=600 (0.011 epochs) val_loss=4.885 val_pp=132.352 val_acc=0.254307
Train: Iter=650 (0.011 epochs) train_loss=4.564 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=700 (0.012 epochs) train_loss=4.731 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=750 (0.013 epochs) train_loss=4.515 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=800 (0.014 epochs) train_loss=4.747 iter_dt=2.14e-01s lr=2.00e-03
>Eval: Iter=800 (0.014 epochs) val_loss=4.592 val_pp=98.691 val_acc=0.286259
Train: Iter=850 (0.015 epochs) train_loss=4.499 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=900 (0.016 epochs) train_loss=4.548 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=950 (0.017 epochs) train_loss=4.357 iter_dt=2.15e-01s lr=2.00e-03
Train: Iter=1000 (0.018 epochs) train_loss=4.433 iter_dt=2.14e-01s lr=2.00e-03
>Eval: Iter=1000 (0.018 epochs) val_loss=4.421 val_pp=83.157 val_acc=0.301843
Train: Iter=1050 (0.018 epochs) train_loss=4.342 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1100 (0.019 epochs) train_loss=4.733 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1150 (0.020 epochs) train_loss=4.224 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1200 (0.021 epochs) train_loss=4.276 iter_dt=2.14e-01s lr=2.00e-03
>Eval: Iter=1200 (0.021 epochs) val_loss=4.314 val_pp=74.764 val_acc=0.312332
Train: Iter=1250 (0.022 epochs) train_loss=4.328 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1300 (0.023 epochs) train_loss=4.319 iter_dt=2.15e-01s lr=2.00e-03
Train: Iter=1350 (0.024 epochs) train_loss=4.238 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1400 (0.025 epochs) train_loss=4.006 iter_dt=2.14e-01s lr=2.00e-03
>Eval: Iter=1400 (0.025 epochs) val_loss=4.236 val_pp=69.154 val_acc=0.318716
Train: Iter=1450 (0.025 epochs) train_loss=4.239 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1500 (0.026 epochs) train_loss=4.216 iter_dt=2.16e-01s lr=2.00e-03
Train: Iter=1550 (0.027 epochs) train_loss=4.245 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1600 (0.028 epochs) train_loss=4.038 iter_dt=2.14e-01s lr=2.00e-03
>Eval: Iter=1600 (0.028 epochs) val_loss=4.178 val_pp=65.220 val_acc=0.323816
Train: Iter=1650 (0.029 epochs) train_loss=4.125 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1700 (0.030 epochs) train_loss=4.222 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1750 (0.031 epochs) train_loss=4.182 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1800 (0.032 epochs) train_loss=4.069 iter_dt=2.14e-01s lr=2.00e-03
>Eval: Iter=1800 (0.032 epochs) val_loss=4.125 val_pp=61.892 val_acc=0.327786
Train: Iter=1850 (0.032 epochs) train_loss=4.137 iter_dt=2.14e-01s lr=2.00e-03
Train: Iter=1900 (0.033 epochs) train_loss=4.057 iter_dt=2.14e-01s lr=2.00e-03
