iter,epochs,train_loss,iter_dt,lr,val_loss,val_pp,val_acc
0,0.0,,,,10.873,52757.392,0.014713
50,0.001,8.972,0.213,0.000154,10.873,52757.392,0.014713
100,0.002,6.77,0.214,0.000518,10.873,52757.392,0.014713
150,0.003,5.975,0.214,0.00102,10.873,52757.392,0.014713
200,0.003,5.805,0.215,0.00151,10.873,52757.392,0.014713
200,0.004,5.805,0.215,0.00151,5.858,349.917,0.18235
250,0.004,5.494,0.214,0.00187,5.858,349.917,0.18235
300,0.005,5.197,0.215,0.002,5.858,349.917,0.18235
350,0.006,5.118,0.215,0.002,5.858,349.917,0.18235
400,0.007,4.951,0.216,0.002,5.002,148.703,0.237667
450,0.008,4.767,0.216,0.002,5.002,148.703,0.237667
500,0.009,4.587,0.216,0.002,5.002,148.703,0.237667
550,0.01,4.488,0.216,0.002,5.002,148.703,0.237667
600,0.011,4.178,0.216,0.002,4.52,91.82,0.29403
650,0.011,4.238,0.216,0.002,4.52,91.82,0.29403
700,0.012,4.453,0.216,0.002,4.52,91.82,0.29403
750,0.013,4.255,0.216,0.002,4.52,91.82,0.29403
800,0.014,4.5,0.216,0.00199,4.347,77.268,0.309012
850,0.015,4.269,0.216,0.00199,4.347,77.268,0.309012
900,0.016,4.339,0.215,0.00199,4.347,77.268,0.309012
950,0.017,4.182,0.216,0.00199,4.347,77.268,0.309012
1000,0.018,4.263,0.216,0.00199,4.248,69.957,0.316741
1050,0.018,4.172,0.216,0.00199,4.248,69.957,0.316741
1100,0.019,4.561,0.216,0.00199,4.248,69.957,0.316741
1150,0.02,4.068,0.216,0.00199,4.248,69.957,0.316741
1200,0.021,4.133,0.216,0.00198,4.172,64.831,0.324082
1250,0.022,4.2,0.216,0.00198,4.172,64.831,0.324082
1300,0.023,4.183,0.216,0.00198,4.172,64.831,0.324082
1350,0.024,4.104,0.216,0.00198,4.172,64.831,0.324082
1400,0.025,3.876,0.217,0.00198,4.116,61.339,0.328369
1450,0.025,4.142,0.217,0.00197,4.116,61.339,0.328369
1500,0.026,4.083,0.216,0.00197,4.116,61.339,0.328369
1550,0.027,4.129,0.216,0.00197,4.116,61.339,0.328369
1600,0.028,3.931,0.216,0.00197,4.072,58.696,0.332021
1650,0.029,4.014,0.216,0.00196,4.072,58.696,0.332021
1700,0.03,4.123,0.216,0.00196,4.072,58.696,0.332021
1750,0.031,4.085,0.216,0.00196,4.072,58.696,0.332021
1800,0.032,3.985,0.216,0.00195,4.033,56.455,0.335089
1850,0.032,4.048,0.216,0.00195,4.033,56.455,0.335089
1900,0.033,3.962,0.216,0.00195,4.033,56.455,0.335089
1950,0.034,3.862,0.216,0.00194,4.033,56.455,0.335089
2000,0.035,3.911,0.216,0.00194,4.005,54.85,0.338152
2050,0.036,4.094,0.216,0.00194,4.005,54.85,0.338152
2100,0.037,3.941,0.216,0.00193,4.005,54.85,0.338152
2150,0.038,3.979,0.216,0.00193,4.005,54.85,0.338152
2200,0.039,3.897,0.216,0.00193,3.98,53.503,0.340328
2250,0.04,3.711,0.216,0.00192,3.98,53.503,0.340328
2300,0.04,4.101,0.216,0.00192,3.98,53.503,0.340328
2350,0.041,4.022,0.216,0.00191,3.98,53.503,0.340328
2400,0.042,4.03,0.217,0.00191,3.959,52.39,0.341808
2450,0.043,4.016,0.216,0.00191,3.959,52.39,0.341808
2500,0.044,3.766,0.216,0.0019,3.959,52.39,0.341808
2550,0.045,3.97,0.216,0.0019,3.959,52.39,0.341808
2600,0.046,3.923,0.216,0.00189,3.936,51.208,0.344291
2650,0.047,3.831,0.216,0.00189,3.936,51.208,0.344291
2700,0.047,3.834,0.216,0.00188,3.936,51.208,0.344291
2750,0.048,3.571,0.215,0.00188,3.936,51.208,0.344291
2800,0.049,3.469,0.216,0.00187,3.92,50.388,0.345244
2850,0.05,3.867,0.217,0.00187,3.92,50.388,0.345244
2900,0.051,4.024,0.216,0.00186,3.92,50.388,0.345244
2950,0.052,3.863,0.216,0.00186,3.92,50.388,0.345244
3000,0.053,3.567,0.216,0.00185,3.903,49.527,0.34697
3050,0.054,3.773,0.216,0.00185,3.903,49.527,0.34697
3100,0.054,3.767,0.216,0.00184,3.903,49.527,0.34697
3150,0.055,3.757,0.216,0.00184,3.903,49.527,0.34697
3200,0.056,3.977,0.216,0.00183,3.888,48.829,0.347782
3250,0.057,3.866,0.216,0.00183,3.888,48.829,0.347782
3300,0.058,3.787,0.216,0.00182,3.888,48.829,0.347782
3350,0.059,3.954,0.216,0.00182,3.888,48.829,0.347782
3400,0.06,3.791,0.216,0.00181,3.873,48.11,0.349662
3450,0.061,3.776,0.216,0.0018,3.873,48.11,0.349662
3500,0.061,3.647,0.216,0.0018,3.873,48.11,0.349662
3550,0.062,3.743,0.216,0.00179,3.873,48.11,0.349662
3600,0.063,4.004,0.217,0.00179,3.86,47.481,0.350685
3650,0.064,3.942,0.216,0.00178,3.86,47.481,0.350685
3700,0.065,3.81,0.216,0.00177,3.86,47.481,0.350685
